,position,birth_country,weight,birth_state,name_display_first_last,college,height_inches,name_display_roster,sport_code,bats,name_first,team_code,birth_city,height_feet,pro_debut_date,team_full,team_abbrev,birth_date,throws,league,name_display_last_first,position_id,high_school,name_use,player_id,name_last,team_id,service_years,active_sw
12,P,USA,180,NY,Marcus Stroman,Duke,7,Stroman,mlb,R,Marcus,nyn,Medford,5,2014-05-04T00:00:00,New York Mets,NYM,1991-05-01T00:00:00,R,NL,"Stroman, Marcus",1,"Patchogue-Medford, Medford, NY",Marcus,573186,Stroman,121,,Y
13,P,Dominican Republic,200,,Sandy Alcantara,,5,Alcantara,mlb,R,Sandy,mia,Azua,6,2017-09-03T00:00:00,Miami Marlins,MIA,1995-09-07T00:00:00,R,NL,"Alcantara, Sandy",1,,Sandy,645261,Alcantara,146,,Y
14,P,USA,185,KY,Walker Buehler,Vanderbilt,2,Buehler,mlb,R,Walker,lan,Lexington,6,2017-09-07T00:00:00,Los Angeles Dodgers,LAD,1994-07-28T00:00:00,R,NL,"Buehler, Walker",1,"Henry Clay, Lexington, KY",Walker,621111,Buehler,119,,Y
15,P,Dominican Republic,200,,Luis Castillo,,2,"Castillo, L",mlb,R,Luis,cin,Bani,6,2017-06-23T00:00:00,Cincinnati Reds,CIN,1992-12-12T00:00:00,R,NL,"Castillo, Luis",1,,Luis,622491,Castillo,113,,Y
16,P,USA,180,FL,Jacob deGrom,Stetson,4,deGrom,mlb,L,Jacob,nyn,DeLand,6,2014-05-15T00:00:00,New York Mets,NYM,1988-06-19T00:00:00,R,NL,"deGrom, Jacob",1,"Cavalry Christian Academy, Ormond Beach, FL",Jacob,594798,deGrom,121,,Y
17,P,USA,195,TN,Sonny Gray,Vanderbilt,10,"Gray, S",mlb,R,Sonny,cin,Smyrna,5,2013-07-10T00:00:00,Cincinnati Reds,CIN,1989-11-07T00:00:00,R,NL,"Gray, Sonny",1,"Smyrna, TN",Sonny,543243,Gray,113,,Y
18,P,USA,200,FL,Zack Greinke,,2,Greinke,mlb,R,Zack,hou,Orlando,6,2004-05-22T00:00:00,Houston Astros,HOU,1983-10-21T00:00:00,R,AL,"Greinke, Zack",1,"Apopka, FL",Zack,425844,Greinke,117,,Y
19,P,USA,180,MD,Josh Hader,,3,Hader,mlb,L,Josh,mil,Millersville,6,2017-06-10T00:00:00,Milwaukee Brewers,MIL,1994-04-07T00:00:00,L,NL,"Hader, Josh",1,"Old Mill, Millersville, MD",Josh,623352,Hader,158,,Y
20,P,USA,225,TX,Clayton Kershaw,,4,Kershaw,mlb,L,Clayton,lan,Dallas,6,2008-05-25T00:00:00,Los Angeles Dodgers,LAD,1988-03-19T00:00:00,L,NL,"Kershaw, Clayton",1,"Highland Park, Dallas, TX",Clayton,477132,Kershaw,119,,Y
21,P,Venezuela,225,,Felipe Vazquez,,2,Vazquez,mlb,L,Felipe,pit,San Felipe,6,2015-04-17T00:00:00,Pittsburgh Pirates,PIT,1991-07-05T00:00:00,L,NL,"Vazquez, Felipe",1,,Felipe,553878,Vazquez,134,,Y
22,P,USA,208,MO,Max Scherzer,Missouri,3,Scherzer,mlb,R,Max,lan,St. Louis,6,2008-04-29T00:00:00,Los Angeles Dodgers,LAD,1984-07-27T00:00:00,R,NL,"Scherzer, Max",1,"Parkway Central, Chesterfield, MO",Max,453286,Scherzer,119,,Y
23,P,Canada,225,AB,Mike Soroka,,5,Soroka,mlb,R,Mike,atl,Calgary,6,2018-05-01T00:00:00,Atlanta Braves,ATL,1997-08-04T00:00:00,R,NL,"Soroka, Mike",1,"Bishop Carroll, Calgary, AB",Mike,647336,Soroka,144,,Y
